Username,ID,SurveyDate,Level,Wins,Title,Effect,Pet,Death,GearEquipped,VIP
Eva_47621,1856618033,2025/01/24,76,5780,n,,,,Terminate,"The Midas Glove | Stop Hitting Yourself | Snowball Cannon | Staff of the Woodlands | Ceramic Potion | Game Studio Executive Briefcase | Ticket Launcher | Snowball Launcher"
Pacniix,948223370,2025/02/11,76,5778,y,Primed,Crimson Array,Overseer Eye,Explode,"Stop Hitting Yourself | Otherworldly Sceptre"
bwIushing,226259889,2025/02/17,76,5777,y,Delicate,,,Comic Thwack,"Beach Staff | Pink Coconut Drink | Bobo the Picnic Bear | Beach Ball | Ancient Firecracker | Bighead Potion"
M3OWS4U,4098234459,2024/09/20,76,5775,y,Saviour,Vortex,Epic Balloon,Drop Coins,""
BloxyPieSquare,2969567364,2025/01/26,76,5775,n,Odd,,,Ragdoll,"Winsome Wizard Wand | RC Tank | Annoying Elf | Christmas Tree Lights | The Midas Glove | Carnagecopia | Bacon Frying Pan | Otherworldly Sceptre | Exploding Heart | Epic Popper | Saxophone | Yellow Snowball | Epicsauce | Breath of Fire | Starfish | Ham Bone | Santa | Big Flower | Christmas Tree Launcher | Staff of Sparks | Slush Cannon | Clown Gun | Frisbee | Witches Brew | RedBLOX | Basketball | Throwing Barrel | TOMATOES! | 8-Bit Ninja Stars | Squid Launcher | Bauble Detector | Frost Potion | Yellow Card | Chameleon Potion | Banjo | War Rocks | Noob Hot Chocolate | Pest Hammer | Slushie | Paint Grenade | Fortune Telling Eight Ball | Inflatable Saxophone | Big Stick | Frosty the Snowfriend | Rolling Pin | The Fiery Sun | Green Epicsauce | Soul Lantern | Ticket Launcher | 8-Bit Staff | Jingle Bells | Ra'k Guitar | Snowball | Spider Flinger | Disguise Watch | Frying Pan | Apple Pie | Dance Potion | The Christmas Creep | Brighteyes's Sparkling Shillelagh | Eggshot | Egg Locater | Protest: More Gear Nao | Ink Launcher | Megagavel | Victrola | Skull Gun | Cake | Director's Clapboard | Staff of Neverending Frost | Tambourine | The Celebrator | Whoopee Cushion | Poison Picnic | Bloxilicious Bubble Gum | Police Badge | EPIC Stamper | Neon Throwing Stars | Rainbow Fireworks | Monster Mash | Spinning Robot Helmet | Chicken Gun | Protest Sign: Save the Noobs | Snowball Cannon | Frosted Santa | Bloxxy Radar | Ghost Potion | Jack Frost | Red Pirate Juice | Metal Detector | Torch | Sparkler | Magical Umbrella | R-80 | Red Foam Finger | Selfie Stick | Party Horn | Pumpkin Gun | Science Project: Potato | Science Project: Volcano | Cymbals | Pinata Bat | Hot Chocolate | Earth Horn | RAIG Table | Boxing Glove Launcher | Bauble Staff | Cherry Pie | Helen The Hiphipapotamus | Giant Ninja Star | Teddy Bloxpin | Hand Cannon | Flower Crossbow | Roblox Snowglobe | Christmas Cookie | Noob Pop | Face Off Potion | Drone | Staff of the Woodlands | Ancient Firecracker | Red Balloon | Tennis Racket | Ultra-Flat Spray Paint | Bugle | Bandit Dog | Epiczza | Discus | BANG! | Caltrops | Spell Book of Ice Cold Revenge"
Luis34460222,4821288136,2025/01/10,76,5775,n,Authentic,Yellow Anime Aura,Orinthian Falcon,The Claw,"Megagavel | Dragon Plushie | Torch | Snowball Cannon"
Cheeseee12398,3243918478,2024/10/13,76,5774,y,VANQUISHER,,Jumbo Snail,The Claw,"Chicken Gun | Mega Mallet | Confetti Cannon"
youremyinjury,693796911,2024/05/15,76,5773,y,,Funny Bone,,,"Laser Finger Pointers | Snowball | Panda Friend | Haunted Pizza | Blue Throwing Barrel | Dance Potion | The Christmas Creep | Throwing Spork | Chocolate Milk | Saxophone | Stop Hitting Yourself | A Very Special Monster | Bug Net | Tambourine | Big Flower | Spooky Guitar | Red Stratobloxxer | Moonwalk Potion | Clown Gun | Slurpee | Cursed Mummy Friend | Zombie Protest Sign | RedBLOX | Basketball | Fake C4 | April Showers | Chocolate Bunny | Throwing Barrel | EPIC Stamper | Christmas Cookie | TOMATOES! | Skeleton Foam Finger | Red Pirate Juice | Taco | Metal Detector | Sparkler | Magical Umbrella | Bonk Bat | Pest Hammer | Party Horn | Staff of the Woodlands | Dragonshead Cannon | Halloween Sparkler | Cymbals | Protest Sign: Eggs are for eating | Hot Chocolate | Fortune Telling Eight Ball | Eggstaff | Fire Extinguisher | Monster Mash | Cherry Pie | Metal Guitar | Giant Ninja Star | Teddy Bloxpin | Green Epicsauce | Flute | Roblox Snowglobe | Rolling Pin | Winter Snowfall | R-80 | Ultra-Flat Spray Paint | Nunchucks | Moneybag | Ancient Firecracker | Soul Lantern | Watermelon | Protest Sign: Noobs | Frosty the Snowfriend | Epiczza | Jingle Bells | BANG! | Eggshot | Torch"
vfpvvv,1646715292,2025/02/09,76,5772,y,,,Friendly Raccoon,Comic Thwack,"Moonwalk Potion | Staff of the Woodlands"
Phyllom3dusa,4439492831,2025/02/17,76,5771,n,NPC,,Blobby Fish,,"Baseball Bat | Panda Friend | Chicken Gun | Valentine’s Throwing Stars | Bacon Frying Pan | Otherworldly Sceptre | Flower Feet | Exploding Heart | Epic Popper | Chocolate Milk | Saxophone | Epicsauce | Dragon Plushie | Pumpkin Bucket | Ham Bone | Big Flower | Christmas Tree Launcher | Ghost Bag | Bunch of Balloons | Slush Cannon | Cursed Mummy Friend | Frisbee | Beach Staff | RedBLOX | Basketball | Fake C4 | Fire Extinguisher | Foam Finger | TOMATOES! | Skeleton Foam Finger | Squid Launcher | Bauble Detector | Pizza | Red Foam Finger | Jack Frost | Hot Dog | Pirate Juice | Noob Hot Chocolate | Pest Hammer | Magic Dragon | Paint Grenade | Bauble Staff | Inflatable Saxophone | Silly Guitar | Bloxiade | Metal Guitar | Rolling Pin | The Fiery Sun | Nunchucks | Green Epicsauce | Ticket Launcher | Jingle Bells | Touchdown Football | Snowball | Haunted Pizza | Disguise Watch | Icicle Cannon | Frying Pan | Item of Sentiment | Brighteyes's Sparkling Shillelagh | Eggshot | Egg Locater | Sign: This Is NOT Epic | Stop Hitting Yourself | Shrunken Head | Cake | Director's Clapboard | Tambourine | Caltrops | Crab Horde | Breath of Fire | Tiger Warrior Club | War Rocks | Bighead Potion | Ceramic Potion | Red Stratobloxxer | Moonwalk Potion | Protest Sign: Noobs | Watermelon | Face Off Potion | Bundle of TNT | R-80 | Slurpee | Soul Lantern | Didgeridoo | Poison Picnic | Zombie Protest Sign | Bloxilicious Bubble Gum | Police Badge | Beach Ball | Misfortune Cookie | Neon Laser Launcher | Snowball Launcher | Halloween Sparkler | EPIC Stamper | Robo Companion | Ice Cream | Mariachi Guitar | Torch | Starblox Latte | Christmas Cookie | Slushie | Red Pirate Juice | Snowball Cannon | Bug Net | Red Balloon | Chimp Friend | Eggstaff | Taco | Metal Detector | AFK Sign | Chocolate Bunny | Frosted Santa | Lightblox Jar | Staff of the Woodlands | Fortune Telling Eight Ball | Science Project: Volcano | Science Project: Potato | Double Cheezburger | Cymbals | Pinata Bat | Hot Chocolate | Blueberry Pie | Protest Sign: Eggs are for eating | Boxing Glove Launcher | Goblet | Cherry Pie | Christmas Tree Lights | Giant Ninja Star | Teddy Bloxpin | Retro Candy | Roblox Snowglobe | Starfish | Piggybank | Boomerang | Tennis Racket | Ancient Firecracker | Smore | Shark Launcher | Flute | Bugle | Protest Sign: Pro Fake Mustache | 8-Bit Ninja Stars | Pom-Poms | BANG! | Throwing Spork | Rainbow Fireworks"
DebbieDebsters,874581169,2024/12/15,76,5770,n,Charismatic,Aurora Borealis,Round Cat,The Claw,"8-Bit Ninja Stars | Otherworldly Sceptre"
V3_nd,1257625996,2024/06/27,76,5769,n,2nd Seasoneer,Jack O' Trio,Hampter,Zero Gravity Ragdoll,"Fake C4 | Haunted Pizza | Frying Pan | Microphone | Beach Gun | Item of Sentiment | Bacon Frying Pan | Monster Friend | Ink Launcher | AFK Sign | Skelefriend | Stop Hitting Yourself | Hot Chocolate | RAIG Table | Pumpkin Bucket | Protest Sign: Eggs are for eating | Director's Clapboard | Epicsauce | Fire Extinguisher"
bloodlikewine,1947027298,2024/11/28,76,5768,y,,,,Ghost,"Witches Brew | Spider Flinger | Exploding Heart | Banana Peel | Teddy Bloxpin | Soul Lantern | Cursed Mummy Friend"
xXvis_ionXx,1500563226,2025/02/12,76,5767,y,Eggsterminator,Egg Trio,Diamond Hen,Drop Robux,"Alpaca Plushie | Roman Candle | Otherworldly Sceptre | Clown Bomb | Snowman Gun | Pest Hammer | Dragonshead Cannon | Anubis Staff | Lightblox Jar | Epicsauce | Game Studio Executive Briefcase | Necromancer Staff"
vickyx90,1220272210,2024/12/21,76,5767,n,Overseer,The Yellow Strange,Yellow Soul,Bird of Prey,"Otherworldly Sceptre | Bauble Detector | Snowball Cannon"
DarknessGames2806,3088770533,2024/12/16,76,5766,y,Claus,Shadow Feet,Gingerbread Man,Avalanche,"Snowball Cannon | Bauble Detector"
snctt,1285197554,2024/08/03,76,5765,n,,,Rat,Eggify,""
neon_90z,689388409,2025/01/26,76,5764,n,Sweet,Center of the Universe,Baby Lamb,Lovely Explosion,"Rainbow Fireworks | Snowman Gun | Staff of Double Disasters | Cupcake Launcher | Love Hurts Ray Gun | Pumpkin Gun | Confetti Cannon | Mega Mallet"
diqnisio,1177455617,2024/09/06,76,5764,n,)-:,Hearts,Bunny Egg,,"Witches Brew | RedBLOX | Basketball | Fake C4 | Snowball | Foam Finger | Throwing Barrel | Christmas Cookie | Dance Potion | Item of Sentiment | The Christmas Creep | Red Pirate Juice | Frost Potion | Chimp Friend | Chameleon Potion | Slingshot | Magical Umbrella | Pirate Juice | Saxophone | Staff of the Woodlands | Epicsauce | Cymbals | Eggstaff | Clown Bomb | Silly Guitar | Frosty the Snowfriend | Teddy Bloxpin | Santa | Roblox Snowglobe | Rolling Pin | Hot Chocolate | Pizza | Ultra-Flat Spray Paint | Monster Mash | Face Off Potion | Stop Hitting Yourself | Noise Maker | Flute | Metal Guitar | Tambourine | Marching Drum | Jingle Bells | Whoopee Cushion | April Showers | Didgeridoo"
iMartinaJ2,209602386,2024/08/15,76,5762,y,VIP,,Fluffy Unicorn,,"Otherworldly Sceptre | Staff of the Woodlands | Beach Staff"
yaretzitagames,1622637611,2024/07/02,76,5762,n,,Conscience,,The Claw,"Stop Hitting Yourself | Science Project: Volcano | Vine Staff | Staff of Neverending Frost"
deadperson064,1070401627,2025/02/12,76,5760,y,,,,Disco,"Snowball | Panda Friend | Disguise Watch | Alpaca Plushie | Compass | Slingshot | Chocolate Milk | Saxophone | Stop Hitting Yourself | Pumpkin Bucket | Bug Net | Tambourine | Santa | Red Stratobloxxer | Moonwalk Potion | Ghost Bag | Heart Balloon | Whoopee Cushion | Didgeridoo | Witches Brew | RedBLOX | Basketball | Throwing Barrel | Ice Cream | Monster Mash | Tom's Beans | Pizza | Protest Sign: Eggs are for eating | Taco | Starblox Latte | Magical Umbrella | Sparkler | Hot Dog | Bloxilicious Bubble Gum | Bonk Bat | Magic Dragon | Bloxxy Radar | Goblet | Killer Whale Launcher | Cymbals | Green Epicsauce | Protest Sign: Noobs | Fortune Telling Eight Ball | Flute | Torch | Bloxiade | Cherry Pie | Marshmallow Chirp | R-80 | Teddy Bloxpin | Ancient Firecracker | Ultra-Flat Spray Paint | Roblox Snowglobe | Rolling Pin | Smore | Wooden Sword | Drone | Chameleon Potion | Latke | Face Off Potion | Soul Lantern | Watermelon | Bugle | Noise Maker | Spinning Robot Helmet | Halloween Sparkler | BANG! | Flower Feet | Epicsauce"
bbxbree,1593909816,2024/08/16,76,5760,y,shrugface,Global Snowglobe,,The Claw,"Baseball Bat | Stop Hitting Yourself"
chuwuah,2256916254,2025/01/08,76,5759,y,,,Star Buddy,Shark Attack,"Pumpkin Staff | Annoying Elf | 4th of July Fireworks | Robo Companion | Noob Pop | Beach Gun | Noob Hot Chocolate | Science Project: Volcano | Stop Hitting Yourself | Sea Sorcerer Staff | Staff of Neverending Frost | Spook Launcher | Science Project: Potato | Neon Laser Launcher | The Fiery Sun | Game Studio Executive Briefcase | Mega Mallet | Alpaca Plushie | Pom-Poms | Squid Launcher | Bighead Potion"
xav20466078537212654,1670483757,2024/11/26,76,5758,y,,,Mummy Beast,Bird of Prey,"Super Slash Cat Claws | Kittypult | Balloon Sword | Lollipop Cat"
fantasticviews,308089094,2024/06/10,76,5758,n,,,,,"Starfish | TOMATOES! | Clown Gun | Chimp Friend | Confetti Cannon"
Alagra2,507834636,2025/02/18,76,5756,n,bearface,The Blue Strange,Lil Obsy,The Claw,"Stop Hitting Yourself | Annoying Elf | Bauble Staff | Disguise Watch | Snowman Gun | Staff of Neverending Frost | Item of Sentiment | Bauble Detector | Squid Launcher | Christmas Tree Launcher | Hedgehog Friend | Egg Locater | Bloxxy Radar | Otherworldly Sceptre | Green Epicsauce | Chameleon Potion | Metal Detector | Snowball Launcher | Flower Feet | Torch | Shark Launcher | Moonwalk Potion | Pest Hammer | Ink Launcher | Staff of the Woodlands"
P1nkStarHearts,88591517,2025/02/19,76,5754,n,Centurion,Rainbow Sparkles,Big Friendly Bee,Ascend,"The Midas Glove | Crab Horde"
V01D_5TAR,110671696,2024/12/19,76,5753,n,Wealthy,Dark Sprite,Eye,Comic Thwack,"Snowball | Chocolate Bunny | Frying Pan | Item of Sentiment | Eggshot | Otherworldly Sceptre | Epic Popper | Party Horn | Staff of the Woodlands | Shrunken Head | Pinata Bat | Hot Chocolate | Waffle | Starfish | Goblet | Bundle of TNT | Retro Candy | The Celebrator | Double Cheezburger | Red Pirate Juice | Ultra-Flat Spray Paint | Heart Balloon | R-80 | Sign: This Is Epic | Bunch of Balloons | Ticket Launcher | Halloween Sparkler | Teddy Bloxpin | Spray Paint | Ancient Firecracker | Lightblox Jar"
17xySxra,1428274824,2024/09/26,76,5752,n,Simpleton,Fairy Wings,Stick Friend,The Claw,"Squid Launcher | Otherworldly Sceptre | Metal Guitar | The Fiery Sun | Game Studio Executive Briefcase | Shark Launcher | Clown Gun"
R4INDR0PPS,956439119,2025/01/01,76,5751,n,Claus,North Star,Gingerbread Man,Drop Stars,"TOMATOES! | Snowball Cannon | Otherworldly Sceptre | Stop Hitting Yourself | Present Basket | Soul Lantern | Dragonshead Cannon | Bauble Detector | Chicken Gun"
NatkaLoczek,945282903,2024/12/09,76,5750,n,Freaky,Glitch,Stick Friend,Ascend,"Winsome Wizard Wand | Spider Flinger | Super Slash Cat Claws | The Midas Glove | Item of Sentiment | Bacon Frying Pan | Egg Locater | Ink Launcher | Sign: This Is NOT Epic | Megagavel | Ghost Potion | Exploding Heart | Saxophone | Yellow Snowball | Breath of Ice | Pumpkin Bucket | Sign: This Is Epic | Tambourine | Bundle of TNT | Crab Horde | Big Flower | Protest: More Gear Nao | Caltrops | Panda Friend | RoVacuum | Atmoblaster 777 | Spinning Robot Helmet | Bloxilicious Bubble Gum | Protest Sign: Pro Fake Mustache | Shark Launcher | Zombie Protest Sign | RedBLOX | EPIC Stamper | Shade Potion | Pirate Hook | Magical Umbrella | Roblox Snowglobe | AFK Sign | Pirate Juice | Pizza | War Rocks | Electric Blue | Helen The Hiphipapotamus | Banjo | Protest Sign: Save the Noobs | Smashing Drum | Pumpkin Gun | Roboarm | Boxing Glove Launcher | Skele-tar | Fortune Telling Eight Ball | Big Stick | Bacon Launcher | Beast Claws | Pool Noodle | Jack Frost | Starfish | Ceramic Potion | Speech Bubble | R-80 | Green Epicsauce | Mega Mallet | Roman Candle | Ticket Launcher | Basketball | Seranok's Golden Chalice of Fame | Personal Fighter Jets | Pom-Poms"
SuperBoi666,143823650,2024/07/12,76,5750,n,,Purple Lightning Storm,,Zero Gravity Ragdoll,"Christmas Tree Lights | Alpaca Plushie | Marching Drum | Squid Launcher | Ink Launcher | Megagavel | Epic Popper | Science Project: Volcano | Stop Hitting Yourself | Killer Whale Launcher | Snowman Gun | Staff of Neverending Frost | Didgeridoo | Metal Guitar | Speech Bubble | Confetti Cannon | R-80 | Earth Horn | Otherworldly Sceptre | Flute | Slush Cannon | Dragon Plushie | Moneybag | Chicken Gun | Spell Book of Ice Cold Revenge"
NokoYuu,1115060355,2024/09/24,76,5749,n,Silly,Wisps,Rudolph the Reindeer,Abduct,"Stop Hitting Yourself | Earth Horn | Carnagecopia | Staff of the Woodlands | Pumpkin Gun | Metal Detector | Otherworldly Sceptre | Ghost Potion | Shade Potion"
davidgamer15685,527386814,2025/02/08,76,5747,n,,,,Drop Coins,"Ticket Launcher | Staff of the Woodlands"
bbizarre,147469764,2025/02/17,76,5746,n,,,,Curse,"Otherworldly Sceptre"
00_iiDeathMonii,860800003,2025/01/27,76,5745,y,Wealthy,Epic faces,Brilliant Crown,Ragdoll,"Magical Umbrella | Staff of the Woodlands | Metal Guitar | Protest Sign: Noobs"
CVR0L,349561246,2024/12/23,76,5744,n,Missionary,Halo,,Top of Tree,"Meteor Staff | Snowball Cannon | Ink Launcher | Megagavel | Torch | Saxophone | Staff of Neverending Frost | Flower Crossbow | Snowman Gun | Bauble Detector | Stop Hitting Yourself | Vine Staff | Rainbow Fireworks"
contrappasso,410641283,2025/01/08,76,5744,y,Stellar,Divinity,Mini Typical,Abduct,"Pest Hammer | Snowball Cannon | Mega Mallet"
YTAngel2Games,310978781,2024/10/28,76,5744,y,INSOMNIAC,Red Anime Aura,Brilliant Crown,Shark Attack,"Dragonshead Cannon | Cake | Neon Laser Launcher | Haunted Pizza | Teddy Bloxpin | Squid Launcher | Monster Friend | Wooden Sword | Soul Lantern | Megagavel | Otherworldly Sceptre | Pest Hammer | Cursed Mummy Friend"
VLILE,1288371158,2024/04/14,76,5743,y,Silly,Strawberries,8-Bit Tabby Cat,Terminate,"Laser Finger Pointers | Snowball | Panda Friend | Haunted Pizza | Disguise Watch | Blue Throwing Barrel | Bacon Frying Pan | Dance Potion | Item of Sentiment | Throwing Spork | The Christmas Creep | Epicsauce | Bandit Dog | Egg Locater | BANG! | Pom-Poms | Ink Launcher | Sign: This Is NOT Epic | Liberty Torch | Ancient Firecracker | Slingshot | Vine Staff | Bugle | Flute | Chocolate Milk | Saxophone | Moneybag | Stop Hitting Yourself | Green Epicsauce | R-80 | Cake | A Very Special Monster | Goblet | Waffle | Clown Bomb | Bug Net | Ultra-Flat Spray Paint | Big Flower | Tambourine | Protest Sign: Egg Hunt Nao | Compass | Santa | Cowbell | Tennis Racket | Zombie Protest Sign | Metal Guitar | Lightblox Jar | Red Stratobloxxer | Moonwalk Potion | Ghost Bag | Bunch of Balloons | Bloxilicious Bubble Gum | Shuriken | Clown Gun | Bloxiade | Heart Balloon | Chocolate Bunny | Apple Pie | Didgeridoo | Witches Brew | RedBLOX | Basketball | Fake C4 | Fire Extinguisher | Foam Finger | Smore | Flower Feet | Ice Cream | Torch | Christmas Cookie | Tom's Beans | Marching Drum | Skeleton Foam Finger | Face Off Potion | Taco | Magical Umbrella | Red Pirate Juice | Egg Hammer | Frost Potion | Pizza | Bonk Bat | Chameleon Potion | Metal Detector | Magic Dragon | Sparkler | Hot Dog | Pirate Juice | Magical Horseshoe | Pest Hammer | Slushie | Staff of the Woodlands | Dragonshead Cannon | Protest Sign: Save the Noobs | Cymbals | Chimp Friend | Eggstaff | Fortune Telling Eight Ball | Inflatable Saxophone | Protest Sign: Eggs are for eating | Silly Guitar | Cherry Pie | Marshmallow Chirp | Giant Ninja Star | Teddy Bloxpin | Misfortune Cookie | Flower Crossbow | Roblox Snowglobe | Rolling Pin | Winter Snowfall | Wooden Sword | Selfie Stick | Chick Horde | Latke | Space Sandwich | Halloween Sparkler | Watermelon | Protest Sign: Noobs | Pumpkin Bucket | Spinning Robot Helmet | Jingle Bells | Tiger Warrior Club | Ra'k Guitar | Eggshot"
igorlvr,330774197,2024/09/01,76,5741,y,INSOMNIAC,Fairy Wings,,Drop Stars,"Stop Hitting Yourself | Laser Finger Pointers | Starfish | Noob Pop | Ink Launcher | Dragonshead Cannon | Beach Gun | Bonk Bat"
SeollHyun,386612308,2025/02/02,76,5740,n,MURICAN,American Flags,Fancy Duck,The Claw,"Laser Finger Pointers | Alpaca Plushie | Staff of the Woodlands | Stop Hitting Yourself | Neon Laser Launcher | Science Project: Potato | Metal Guitar"
whywhywhywhiy,3384890808,2024/08/20,76,5739,n,Imbecile,Cosmic Trail,,Mined,"Baseball Bat | Snowball | Panda Friend | Spider Flinger | Christmas Tree Lights | Frying Pan | Alpaca Plushie | Item of Sentiment | Carnagecopia | The Christmas Creep | Throwing Spork | Egg Locater | Otherworldly Sceptre | Ink Launcher | Sign: This Is NOT Epic | Exploding Heart | Epic Popper | Saxophone | Skull Gun | A Very Special Monster | Neon Laser Launcher | Pumpkin Bucket | Sign: This Is Epic | Ham Bone | Staff of Neverending Frost | Tambourine | Protest Sign: Egg Hunt Nao | Crab Horde | Chick Horde | Big Flower | The Celebrator | Eggshot | Chicken Gun | Starfish | Annoying Elf | Epiczza | Ghost Bag | Director's Clapboard | Vine Staff | Shuriken | Police Badge | Slurpee | Christmas Tree Launcher | Chocolate Bunny | R-80 | Misfortune Cookie | Witches Brew | RedBLOX | Basketball | Fake C4 | Fortune Telling Eight Ball | Foam Finger | Robo Companion | Ancient Firecracker | Rolling Pin | EPIC Stamper | Noob Pop | TOMATOES! | Marching Drum | Skeleton Foam Finger | Roblox Snowglobe | Squid Launcher | Earth Horn | Paint Grenade | Double Cheezburger | Frosty the Snowfriend | Beach Ball | Red Foam Finger | Taco | Metal Detector | Protest Sign: Touch Grass | Jack Frost | Magical Umbrella | Killer Whale Launcher | Noob Hot Chocolate | Pest Hammer | Cherry Pie | Pumpkin Gun | Science Project: Potato | Silly Guitar | Cymbals | Pinata Bat | Hot Chocolate | Bauble Staff | Skele-tar | Protest Sign: Eggs are for eating | Piggybank | Smore | Eggstaff | Giant Ninja Star | Science Project: Volcano | Egg Hammer | Flower Crossbow | Metal Guitar | Speech Bubble | The Fiery Sun | Slush Cannon | Haunted Pizza | Shade Potion | Green Epicsauce | Beach Staff | Soul Lantern | Goblet | Protest Sign: Noobs | Frosted Santa | Spinning Robot Helmet | Tennis Racket | Tiger Warrior Club | Touchdown Football | Rainbow Fireworks"
kabsalover24811,87447187,2024/12/16,76,5738,y,Nametag,,Baby Lamb,Curse,"Neon Laser Launcher | Panda Friend | Chicken Gun | Blue Throwing Barrel | Item of Sentiment | Carnagecopia | Eggshot | Chocolate Milk | Saxophone | Stop Hitting Yourself | Cake | Pumpkin Bucket | Bundle of TNT | Santa | Big Flower | Tennis Racket | Red Stratobloxxer | Ghost Bag | Bighead Potion | Didgeridoo | Beach Staff | Chick Horde | Chocolate Bunny | Foam Finger | Clown Bomb | Watermelon | EPIC Stamper | Christmas Cookie | Tee Shirt Cannon | Ticket Launcher | Monster Mash | Powerful Paintbrush | Face Off Potion | R-80 | Bauble Detector | Frost Potion | Chimp Friend | Red Foam Finger | Protest Sign: Save the Noobs | Anubis Staff | Sparkler | Magical Umbrella | Staff of the Woodlands | Starblox Latte | Paint Grenade | Ceramic Potion | Fortune Telling Eight Ball | Cymbals | Cherry Pie | Earth Horn | Inflatable Saxophone | Marshmallow Chirp | Protest Sign: Eggs are for eating | Love Hurts Ray Gun | Giant Ninja Star | Teddy Bloxpin | Retro Candy | Flower Crossbow | Roblox Snowglobe | Rolling Pin | Slushie | Pumpkin Gun | Ultra-Flat Spray Paint | Mega Mallet | Green Epicsauce | Soul Lantern | Flute | Tambourine | Witches Brew | iLift Three | Discus | Tiger Warrior Club | Shark Launcher | Epicsauce"
HistoricalLola16141,127488605,2025/01/07,76,5736,n,eyesnlips,Aurora Borealis,Rudolph the Reindeer,Disco,"Frosted Santa | Icicle Cannon | Item of Sentiment | Inflatable Saxophone | Staff of Neverending Frost | Snowman Gun | Gravity Gun | Pom-Poms | Snowball Cannon | Bauble Detector | Pumpkin Gun | Frosty the Snowfriend | Winter Snowfall"
Jenixeoph,1801968958,2024/08/10,76,5734,n,.,!!!!!!!,Gremlin,Comic Thwack,"Stop Hitting Yourself | Flower Crossbow | Bandit Dog | Big Flower | Beach Staff | Exploding Heart | Epic Popper"
Bloodloss01,1248138881,2024/11/10,76,5734,n,Furry,Lich Aura,,Comic Thwack,"Pumpkin Gun | Big Stick"
Orchids_z,198806320,2024/08/15,76,5733,y,:-),Watchful Eye,Ninja Frog,Terminate,"Stop Hitting Yourself | Fake C4 | Disguise Watch | Big Stick | R-80 | Otherworldly Sceptre | Ticket Launcher | Beach Staff"
Dashxxx071,479555481,2024/12/17,76,5733,n,Bri'ish,,,The Claw,"Dragonshead Cannon | Metal Guitar | Monster Friend | Bauble Detector | Moneybag | AFK Sign | Pest Hammer"
nonplasticdoll,1595261070,2024/11/06,76,5732,y,Smitten,,,Bird of Prey,"Cake | Item of Sentiment | Chocolate Milk"
iicceexxmahrii,1954589050,2024/09/11,76,5731,y,Nametag,Crystalized,Star Buddy,Vanish,"Neon Laser Launcher | Otherworldly Sceptre | Science Project: Volcano | Stop Hitting Yourself | Bighead Potion | Staff of Neverending Frost | The Celebrator | Green Epicsauce | Science Project: Potato"
zelmxe,474257098,2024/09/01,76,5730,y,,Target,,Lovely Explosion,"Stop Hitting Yourself | Megagavel"
Julia67Meckun,678017519,2025/02/17,76,5727,n,.,Rainbow Sparkles,,Terminate,"Otherworldly Sceptre"
aprixiti,2675799720,2024/04/21,76,5723,n,.,,,Lovely Explosion,"Bloxilicious Bubble Gum | Alpaca Plushie | Chimp Friend | Megagavel | Stop Hitting Yourself | Flower Crossbow | Rainbow Fireworks"
Alohaxreina,2397626541,2024/10/06,76,5720,n,Fugitive,Floating Flower,Gourd Friend,Drop Stars,"Mega Mallet"
mako1021xy,3025796463,2024/04/23,76,5720,n,,,Flying Angel,Explode,"Torch"
wuh_t,410224954,2025/02/19,76,5719,y,,,,Explode,"Christmas Tree Topper | Laser Finger Pointers | Neon Laser Launcher | Disguise Watch | Item of Sentiment | Lightning Wand | Liberty Torch | Ghost Potion | Sea Sorcerer Staff | Halloween Sparkler | Tambourine | Stitch Bunny | Bucket | Clown Gun | Spray Paint | Pumpkin Staff | Bloxilicious Bubble Gum | Basketball | Throwing Barrel | TOMATOES! | Lollipop Cat | Bonk Bat | Party Horn | Pumpkin Gun | Dragonshead Cannon | Cymbals | Fortune Telling Eight Ball | Earth Horn | Protest Sign: Eggs are for eating | Stop Hitting Yourself | Metal Guitar | Red Balloon | The Fiery Sun | Mega Mallet | Selfie Stick | Sakura Parasol | Soul Lantern | Slush Cannon | Squid Launcher | Shark Launcher | RedBLOX | Snowball | Throwing Bolts"
Diablire,1827893192,2024/10/01,76,5717,y,Nametag,Easter Aura,Halrog,Big Bunny,"Stop Hitting Yourself | Disguise Watch | Flower Feet | Dragonshead Cannon | Carrot Slingshot"
DrD4N,2067827920,2025/02/12,76,5716,n,shrugface,Debuff,,Curse,"Alpaca Plushie | Saxophone | Bongos | Didgeridoo | Magical Umbrella | Dragonshead Cannon | Earth Horn | Kittypult | Zombie Protest Sign"
arongyo,475214038,2024/11/26,76,5715,y,,,,Ascend,"Dragonshead Cannon | Halloween Sparkler | Alpaca Plushie | Metal Guitar | Otherworldly Sceptre | Megagavel | Epic Popper | Moneybag | Staff of the Woodlands"
